,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
191,Comfortable,H.E.R.,0.429,0.399,5,-11.679,0,0.0893,0.632,3.23e-05,0.087,0.353,72.487,audio_features,3f3cliOygeuUpGRwdohy12,spotify:track:3f3cliOygeuUpGRwdohy12,https://api.spotify.com/v1/tracks/3f3cliOygeuUpGRwdohy12,https://api.spotify.com/v1/audio-analysis/3f3cliOygeuUpGRwdohy12,255066,4
192,Comfortable,Savannah Cristina,0.693,0.426,9,-9.634,0,0.224,0.5,1.42e-06,0.759,0.167,120.018,audio_features,4y3Cny28krRSxuoBn54MWZ,spotify:track:4y3Cny28krRSxuoBn54MWZ,https://api.spotify.com/v1/tracks/4y3Cny28krRSxuoBn54MWZ,https://api.spotify.com/v1/audio-analysis/4y3Cny28krRSxuoBn54MWZ,166664,4
193,A Muse,dvsn,0.774,0.391,5,-6.753,1,0.165,0.646,0.00165,0.0751,0.42,134.057,audio_features,7AOIpGjtubeC0uSiMEhOyR,spotify:track:7AOIpGjtubeC0uSiMEhOyR,https://api.spotify.com/v1/tracks/7AOIpGjtubeC0uSiMEhOyR,https://api.spotify.com/v1/audio-analysis/7AOIpGjtubeC0uSiMEhOyR,222090,4
194,Come See Me,Teenear,0.79,0.388,7,-8.996,1,0.0654,0.612,0.0,0.122,0.327,119.02,audio_features,31Bfwo18yqIlIhu671Tf9e,spotify:track:31Bfwo18yqIlIhu671Tf9e,https://api.spotify.com/v1/tracks/31Bfwo18yqIlIhu671Tf9e,https://api.spotify.com/v1/audio-analysis/31Bfwo18yqIlIhu671Tf9e,165018,3
195,Toxic,Kehlani,0.656,0.453,7,-5.395,0,0.0351,0.307,0.00102,0.113,0.0407,111.804,audio_features,1Zm9qGPQkTAOBiVpGSnJUq,spotify:track:1Zm9qGPQkTAOBiVpGSnJUq,https://api.spotify.com/v1/tracks/1Zm9qGPQkTAOBiVpGSnJUq,https://api.spotify.com/v1/audio-analysis/1Zm9qGPQkTAOBiVpGSnJUq,168183,4
196,Last Time,Ro James,0.725,0.571,9,-6.379,0,0.0762,0.0555,0.0,0.229,0.324,134.941,audio_features,2P7GzumACpq7iFYxjbFKfP,spotify:track:2P7GzumACpq7iFYxjbFKfP,https://api.spotify.com/v1/tracks/2P7GzumACpq7iFYxjbFKfP,https://api.spotify.com/v1/audio-analysis/2P7GzumACpq7iFYxjbFKfP,272141,4
197,Bittersweet,Lianne La Havas,0.578,0.41,5,-7.555,0,0.0322,0.346,0.000182,0.219,0.313,137.908,audio_features,03Qlgtvz9ux6lmzlv40BEZ,spotify:track:03Qlgtvz9ux6lmzlv40BEZ,https://api.spotify.com/v1/tracks/03Qlgtvz9ux6lmzlv40BEZ,https://api.spotify.com/v1/audio-analysis/03Qlgtvz9ux6lmzlv40BEZ,236640,4
198,THE NEWS,PARTYNEXTDOOR,0.74,0.465,7,-8.27,0,0.0411,0.304,0.00404,0.101,0.276,116.74,audio_features,5A3TwAmhxbQ1qZCJ8N2H8C,spotify:track:5A3TwAmhxbQ1qZCJ8N2H8C,https://api.spotify.com/v1/tracks/5A3TwAmhxbQ1qZCJ8N2H8C,https://api.spotify.com/v1/audio-analysis/5A3TwAmhxbQ1qZCJ8N2H8C,267384,4
199,Fade Away,Lucky Daye,0.534,0.777,10,-6.301,1,0.0684,0.0737,0.00113,0.166,0.625,156.057,audio_features,7gXVlNVDu3Qmf0Sy63GqA1,spotify:track:7gXVlNVDu3Qmf0Sy63GqA1,https://api.spotify.com/v1/tracks/7gXVlNVDu3Qmf0Sy63GqA1,https://api.spotify.com/v1/audio-analysis/7gXVlNVDu3Qmf0Sy63GqA1,220054,4
200,"Crazy Kind of Love - From ""True to the Game 2""",Tamar Braxton,0.286,0.603,7,-6.037,0,0.058,0.144,2.7e-05,0.131,0.327,65.495,audio_features,3NYUr2OCOXDAHqP65jOTlc,spotify:track:3NYUr2OCOXDAHqP65jOTlc,https://api.spotify.com/v1/tracks/3NYUr2OCOXDAHqP65jOTlc,https://api.spotify.com/v1/audio-analysis/3NYUr2OCOXDAHqP65jOTlc,145012,4
